English,Korean
access,"접근, 이용, 접속, 출입"
accommodation,"수용, 숙박, 숙식, 기숙"
account,"회계, 계정, 계좌, 설명, 고려"
acquisition,"습득, 획득, 취득, 인수, 향상"
agenda,"의제, 과제, 안건, 아젠다, 정책"
agreement,"협정, 합의, 동의, 계약, 조화"
allowance,"수당, 용돈, 비용, 허용, 참작"
analysis,"분석, 해석, 연구, 고찰, 조사"
application,"적용, 응용, 활용, 애플리케이션, 사용"
appointment,"임명, 약속, 예약"
appraisal,"평가, 감정, 기준, 조사, 평정"
arrangement,"배열, 협정, 계약, 합의, 계획"
assignment,"과제, 임무, 숙제"
assistance,"지원, 원조, 보조, 도움, 조력"
associate,"관련시키다, 연관, 부, 동료, 어울리다"
attendance,"참석, 출석, 관객, 돌봄"
audit,"감사, 단속, 청강, 세무조사"
authority,"당국, 권한, 권위, 권력, 권위자"
authorization,"위임, 허가, 권한, 부여"
availability,"유용성, 유효성, 이용도"
benefit,"이익, 혜택, 도움이, 되다"
bonus,"보너스, 덤, 상여금, 특별, 수당"
branch,"가지, 지점, 지사, 지부, 지국"
budget,"예산, 재정, 예산안"
calculation,"계산, 측정, 추측"
campaign,"캠페인, 선거, 운동, 운동, 광고, 조직적, 활동"
candidate,"후보자, 지원자, 수험생"
capacity,"능력, 용량, 기능, 가능성, 자격"
capital,"자본, 수도, 자산, 자금, 대문자"
category,"범주, 분류, 부문, 카테고리, 체계"
certificate,"증서, 자격증, 학위, 증권, 상장"
characteristic,"특성, 독특한, 특징적인"
collaboration,"협력, 공동, 협업, 협조, 공동, 연구"
colleague,동료
commission,"위원회, 의뢰, 수수료, 권한, 사관"
commitment,"몰입, 약속, 책임, 헌신, 의지"
committee,위원회
communication,"통신, 소통, 커뮤니케이션, 대화, 교통"
compensation,"보상, 보정, 배상, 보험, 보수"
competitor,"경쟁자, 선수, 경쟁업체"
compliance,"따르기, 준수, 추종"
component,"구성, 요소, 성분, 컴포넌트, 부품, 부분"
concentration,"농축, 집중, 수용소"
condition,"조건, 상태, 환경, 상황, 병"
conference,"회의, 회견, 회담, 총회, 협의"
confidence,"자신감, 신뢰, 확신, 신용, 심리"
confirmation,"확인, 확증, 입증"
consideration,"고려, 배려, 생각, 이해, 숙고"
consignment,"위탁, 탁송, 위탁물"
construction,"건설, 공사, 건축, 건립"
consultant,"컨설턴트, 상담역"
consumption,"소비, 소비량, 폐결핵"
contract,"계약, 계약서, 맺다, 수축하다, 걸리다"
contribution,"기여, 공헌, 기고, 기부"
cooperation,"협력, 협조, 교류, 협동조합"
corporation,"기업, 회사, 법인"
cost,"비용, 가격, 들다, 얼마이다, 주다"
coverage,"보도, 커버리지, 방송, 지역, 범위"
credential,"신임장, 자격, 신용, 증명이, 되는"
criticism,"비판, 비평, 비난, 혹평"
currency,"통화, 화폐, 외환, …화, 환율"
deadline,"데드라인, 마감일, 최종, 기한"
deduction,"공제, 차감액, 추론"
defect,"결함, 장애, 탈주, 이탈"
delegate,"대표, 대의원, 위임하다, 사절"
demand,"수요, 요구하다, 까다롭다, 요청하다"
demonstration,"시연, 시위, 데모, 표출"
department,"학과, 부서, 부, 전문, 분야"
departure,"출발, 떠남, 벗어남, 사임"
deposit,"예금, 보증금, 비축, 입금, 공탁"
description,"기술, 서술, 설명, 묘사, 표현"
designation,"지명, 지정, 지시"
destination,"목적지, 관광지, 장소, 여행지, 목표"
development,"개발, 발전, 발달, 전개, 발생"
device,"장치, 기기, 기구, 고안, 폭발물"
diagnosis,"진단, 식별, 진찰"
directory,"명단, 디렉터리, 목록"
disadvantage,"불리, …을, 불리하게, 하다, 결점"
discrepancy,"불일치, 차이, 어긋난, 모순, 괴리"
discussion,"논의, 토론, 심의"
dispatch,"파견, 보내다, 파병, 급파, 살해"
distribution,"분포, 분배, 유통, 배포, 배급"
dividend,"배당금, 나뉨수, 피제수"
document,"문서, 서류, 기록, 자료, 기록하다"
donation,"기부, 기증, 헌혈, 모금, 성금"
duration,"지속기간, …동안, …하는, 중, 내내"
earnings,"소득에, 따른"
economy,"경제, 경기, 이코노미"
edition,"판, 전발행, 부수, 1회분"
efficiency,"효율, 능률, 효과적인, 효과, 경제성"
element,"요소, 원소, 구성, 원리, 가지"
eligibility,"적격, 적임, 피선거, 자격"
employment,"고용, 취업, 직업, 일자리, 업무"
endorsement,"지지, 이서, 보증, 선전"
enforcement,"시행, 실시, 강제"
engineer,"엔지니어, 기술자, 공학자, 운영하다, 공작하다"
enterprise,"기업, 사업"
environment,"환경, 상황, 자연, 분위기"
equipment,"장비, 설비, 기기, 기술, 부품"
estimate,"예상하다, 추정하다, 계산하다, 측정하다, 평가하다"
evaluation,"평가, 분석, 시험, 검토, 심사"
evidence,"증거, 근거, 흔적, 단서"
examination,"검토, 시험, 검사, 조사, 심문"
exchange,"교환, 환율, 거래소, 주고, 받다, 바꾸다"
executive,"임원, 경영자, 행정부의, 대표, 책임자"
exhibition,"전시, 박람회, 작품, 공연, 시범"
expansion,"확장, 팽창, 확대, 증대, 증설"
expectation,"기대, 기대치, 예상, 추측, 전망"
expenditure,"지출, 비용, 소비"
expense,"비용, 지출, 희생, 경비"
experience,"경험, 체험, 느끼다, 겪다, 실습"
experiment,"실험, 시험, 시도"
expert,"전문가, 숙련된, 달인"
expiration,"만료, 만기, 유효기간"
explanation,"설명, 해석, 해명"
extension,"확장, 연장, 확대, 내선번호, 연기"
facility,"시설, 설비, 재능"
factor,"요인, 원인, 요소, 유전자, 인수"
factory,"공장, 회사, 팩토리, 제조소"
failure,"실패, 고장, 하지, 않기, 실패작, 실수"
fare,"요금, 운임, 실적을, 내다, 상연물"
feedback,"피드백, 반응, 의견"
figure,"수치, 생각하다, 인물, 해결하다, 인형"
finance,"금융, 재정, 자금, 재무, 재원"
flexibility,"융통성, 구부리기, 쉬움, 신축성"
fluctuation,"동요, 변동, 파동"
forecast,"예상, 예보, 전망하다, 내다보다"
form,"형태, 형식, 만들다, 형성하다, 종류"
foundation,"기반, 재단, 토대, 창립, 파운데이션"
franchise,"프랜차이즈, 선거권, 시리즈, 체인점, 연고"
freight,"화물, 수송, 운임"
function,"기능, 역할, 작용, 작동, 행사"
fund,"자금, 투자하다, 펀드"
furniture,가구
gap,"간격, 차이, 갭"
gathering,"모으기, 모임, 회의, 행사, 유치"
goal,"목표, 목적, 골"
grant,"보조금, 부여하다, 주다, 인정하다, 허가하다"
growth,"성장, 증가, 증대, 상승, 자람"
guarantee,"보장하다, 보증, 보호, 장담하다, 약속"
guideline,"지침, 가이드라인, 기준, 방법, 정책"
handling,"취급, 취급의, 손으로, 만지기"
headquarters,"본부, 본사, 당사, 사령부, 지도부"
health,"건강, 보건, 의료, 헬스, 몸에, 좋음"
hire,"고용하다, 채용하다, 사람을, 쓰다, 뽑다, 빌리다"
holiday,"휴가, 공휴일, 휴일, 명절, 축제일"
humanity,"인류, 인간성, 인간애"
identification,"동정, 표시, 신원, 확인, 공감, 신분증"
implementation,"이행, 실행, 완성"
implication,"의미, 영향, 연루"
improvement,"개선, 향상, 발전, 개량, 증진"
incentive,"인센티브, 유인, 보상의, 장려하는, 혜택"
income,"소득, 수입, 수익"
increase,"증가하다, 늘리다, 확대하다, 상승하다, 인상되다"
indication,"표시, 징후, 가리키는"
industry,"산업, 업계, 제조업, 공업"
inflation,"인플레이션, 물가, 인상, 증가, 부풀리기"
information,"정보, 자료, 안내, 뉴스, 보도"
ingredient,"재료, 성분"
initiative,"새로운, 계획, 이니셔티브, 조치, 주도권, 선제의"
injury,"손상, 상처, 부상, 피해"
inquiry,"조사, 문의, 수사"
inspection,"검사, 점검, 조사, 감사, 검증"
installation,"설치, 시설, 전시, 임명"
instance,"예, 사례, 일례"
institute,"연구소, 협회, 대학교, 시행하다, 전문교육기관"
instruction,"교육, 방법, 지시, 설명, 교본"
instructor,"지도자, 강사, 교수, 교사, 교관"
instrument,"도구, 악기, 기구"
insurance,"보험, 보험금"
intention,"의도, 의사, 의향, 의지, 취지"
interest,"관심, 이자, 이해관계"
interview,"인터뷰, 면접, 면담, 회견"
introduction,"도입, 소개, 서문, 입문, 머리말"
inventory,"재고, 목록, 보유, 비축"
investigation,"연구, 조사, 수사, 감사"
investment,"투자, 출자"
invoice,"송장, 청구서, 인보이스"
item,"품목, 물품, 아이템, 사항, 도구"
itinerary,"일정, 기행, 여정, 여행"
job,"일, 직업, 직무, 일자리, 수술"
journal,"정기, 간행물, 저널, 일기, 잡지"
judgment,"판단, 판결, 심판, 결정, 평가"
knowledge,"지식, 아는, 것, 인지, 학식"
labor,"노동, 근로, 진통, 노력, 출산"
laboratory,"실험실, 연구실, 실습실"
landmark,"경계표, 표지물, 두드러진, 특색"
landscape,"경관, 풍경, 지형, 조경, 지역"
launch,"시작하다, 발사하다, 출시하다, 발표, 개시하다"
laundry,"세탁, 빨래, 세탁물, 세탁소"
law,"법, 법칙, 법률, 규정, 법안"
layout,"배치, 설계, 펼치기"
lease,"임대하다, 리스, 임대, 계약서, 민간자본유치사업, 대여하다"
legislation,"입법, 법제, 법안, 제도, 법률"
liability,"의무, 책임, 부채"
license,"면허, 번호판, 허가, 라이센스, 자격증"
limit,"한계, 제한, 한도, 범위, 극한"
line,"선, 노선, 라인, 줄을, 서다, 전화"
list,"목록, 리스트, 명단, 순위, 등재되다"
loan,"대출, 융자, 빌려, 주다, 대부, 빚"
location,"위치, 장소, 지역, 자리"
logistics,"물류, 로지스틱스, 군수, 화물, 택배"
loyalty,"충성, 성실, 의리"
luggage,"짐, 가방, 수화물"
machinery,"기계, 장치, 조직, 기구"
mail,"우편, 부치다, 이메일"
maintenance,"유지, 관리, 보수, 정비"
management,"관리, 경영, 운영, 사측, 처리"
manager,"매니저, 경영자, 관리인, 감독, 부장"
manufacturer,"업체, 제조업자, 생산자"
margin,"차이, 마진, 수익, 가장자리, 보증금"
market,"시장, 마켓, 상가"
marketing,"마케팅, 홍보, 영업"
material,"재료, 물질의, 자료, 소재, 성분"
matter,"중요하다, 문제, 물질, 중요한, 것, 사안"
measure,"대책, 측정하다, 조치, 기준, 평가하다"
mechanism,"메커니즘, 장치, 체계, 방법, 기계"
media,"매스, 미디어, 매체, medium의, 복수형"
medication,"약물, 약물, 치료, 투약"
meeting,"회의, 만남, 집회, 미팅, 충족하는"
membership,"회원, 멤버십, 이사"
memo,"메모, memorandum, memoranda"
memorandum,"각서, 비망록, 메모"
merchandise,"상품, 물품"
merchant,"상인, 상업의, 상선의, 무역상"
merger,"합병, 통합, 흡수합병, 합당, 연합"
method,"방법, 방식, 수단"
minimum,"최소, 최저"
minute,"분, 잠깐, 적은, 양의, 의사록"
mission,"임무, 선교, 미션, 사명, 계획"
mistake,"실수, 잘못, 착각, 오해"
model,"모델, 모형, 방법, 방식, 모범"
modification,"수정, 변경, 조절"
money,"돈, 자금, 화폐, 비용, 금액"
monitor,"모니터링, 조사하다, 감독하다, 모니터, 관찰하다"
